Date,Confirmed,Deaths,Recovered,Active,Daily_Confirmed,Daily_Deaths,Daily_Recovered,MA_7_Confirmed,MA_14_Confirmed,Mortality_Rate,Recovery_Rate,Active_Rate,Growth_Rate,Growth_Rate_MA
2020-01-22,0,0,0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,
2020-01-23,0,0,0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,
2020-01-24,0,0,0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,
2020-01-25,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
2020-01-26,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
2020-01-27,0,0,0,0,0.0,0.0,0.0,0.14285714285714285,,0.0,0.0,0.0,,
2020-01-28,0,0,0,0,0.0,0.0,0.0,0.14285714285714285,,0.0,0.0,0.0,,
2020-01-29,0,0,0,0,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.0,0.0,0.0,,
2020-01-30,1,0,0,1,1.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.0,0.0,100.0,inf,
2020-01-31,1,0,0,1,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.0,0.0,100.0,inf,
2020-02-01,1,0,0,1,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.0,0.0,100.0,inf,
2020-02-02,2,0,0,2,1.0,0.0,0.0,0.42857142857142855,0.21428571428571427,0.0,0.0,100.0,inf,
2020-02-03,3,0,0,3,1.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.0,0.0,100.0,inf,
2020-02-04,3,0,0,3,0.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.0,0.0,100.0,inf,
2020-02-05,3,0,0,3,0.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.0,0.0,100.0,inf,
2020-02-06,3,0,0,3,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.0,0.0,100.0,200.0,
2020-02-07,3,0,0,3,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,100.0,200.0,
2020-02-08,3,0,0,3,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,100.0,200.0,
2020-02-09,3,0,0,3,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,100.0,50.0,
2020-02-10,3,0,0,3,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,100.0,0.0,
2020-02-11,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,
2020-02-12,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,92.85714285714286
2020-02-13,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64.28571428571429
2020-02-14,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,35.714285714285715
2020-02-15,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,7.142857142857143
2020-02-16,3,0,3,0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-17,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-18,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-19,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-20,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-21,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-22,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-23,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-24,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-02-25,3,0,3,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,100.0,0.0,0.0,0.0
2020-02-26,3,0,3,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,100.0,0.0,0.0,0.0
2020-02-27,3,0,3,0,0.0,0.0,0.0,0.0,1.7857142857142858,0.0,100.0,0.0,0.0,0.0
2020-02-28,3,0,3,0,0.0,0.0,0.0,0.2857142857142857,1.9285714285714286,0.0,100.0,0.0,0.0,0.0
2020-02-29,3,0,3,0,0.0,0.0,0.0,0.2857142857142857,2.0,0.0,100.0,0.0,0.0,0.0
2020-03-01,3,0,3,0,0.0,0.0,0.0,3.5714285714285716,2.2142857142857144,0.0,100.0,0.0,0.0,0.0
2020-03-02,5,0,3,2,2.0,0.0,0.0,3.857142857142857,2.5714285714285716,0.0,60.0,40.0,66.66666666666667,9.523809523809524
2020-03-03,5,0,3,2,0.0,0.0,0.0,4.0,2.857142857142857,0.0,60.0,40.0,66.66666666666667,19.047619047619047
